_id,_updated_at,_created_at,bankNameCode,bankName,bankCode,bankNameHiragana,addedFirstSearchChar
2KTQ6sBLzC,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ﾋﾞﾙﾊﾞｵ･ﾋﾞｽｶﾔ･ｱﾙﾍﾝﾀﾘｱ,ビルバオ・ビスカヤ・アルヘンタリア銀行,627,ひ_びるばお･びすかや･あるへんたりあ,true
2DPHv6qz7f,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ﾄｳｷﾖｳﾄｼﾖｸｲﾝｼﾝｸﾐ,東京都職員信用組合,2276,とうきようとしよくいんしんくみ,
2L7fz1eTQm,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ﾅｶﾞﾉｼﾝｷﾝ,長野信用金庫,1390,ながのしんきん,
3gJDIMmT4r,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ﾋｶﾞｼｱｻﾋｶﾜﾉｳｷﾖｳ,東旭川農業協同組合,3220,ひがしあさひかわのうきよう,
2Oo5GteNd3,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ﾖｺｽｶﾊﾔﾏﾉｳｷﾖｳ,よこすか葉山農業協同組合,5128,よこすかはやまのうきよう,
2W3d7L173r,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ｱﾜｼﾞｼﾝｷﾝ,淡路信用金庫,1691,あわじしんきん,
2wd58E3W7H,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ﾄｳｷﾖｳｽﾏｲﾙﾉｳｷﾖｳ,東京スマイル農業協同組合,5100,とうきようすまいるのうきよう,
3adhZf71pD,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ﾐｽﾞﾎｼﾝﾀｸ,みずほ信託銀行,289,みずほしんたく,
3i4naLudXY,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ｲﾙﾏﾉﾉｳｷﾖｳ,いるま野農業協同組合,4735,いるまののうきよう,
457Yg92B80,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ﾔﾏｶﾞﾀｵｷﾀﾏﾉｳｷﾖｳ,山形おきたま農業協同組合,3989,やまがたおきたまのうきよう,
45jhY320aM,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ｸﾏﾓﾄｳｷﾉｳｷﾖｳ,熊本宇城農業協同組合,9010,くまもとうきのうきよう,
46ca0yKSEH,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ﾂｼﾝｷﾝ,津信用金庫,1580,つしんきん,
4UbuthMP03,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ｷﾗﾎﾞｼ,きらぼし銀行,137,きらぼし,
4esE42i18j,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ﾂｼﾏﾉｳｷﾖｳ,対馬農業協同組合,8906,つしまのうきよう,
4rymD4h89v,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ﾄﾞｳﾅﾝｳﾐﾏﾁｼﾝｷﾝ,道南うみ街信用金庫,1014,と_どうなんうみまちしんきん,true
2CQ2oEYVtI,2019-08-28T09:01:04.494Z,2019-08-28T09:01:04.494Z,ﾛ-ｿﾝ,ローソン銀行,42,ろ-そん,
2QUlVr6Yt1,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ﾁｸﾎｳ,筑邦銀行,178,ちくほう,
3eC19GOFjT,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ｼﾞﾖｳｴﾂｼﾝｷﾝ,上越信用金庫,1376,し_じようえつしんきん,true
3h2t8KsnHW,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ｼﾝｼﾉﾂﾑﾗﾉｳｷﾖｳ,新篠津村農業協同組合,3147,しんしのつむらのうきよう,
3wUZtqay55,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ｶﾗｽﾔﾏｼﾝｷﾝ,烏山信用金庫,1227,からすやましんきん,
4139LDefK5,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ﾅｶｻﾂﾅｲﾑﾗﾉｳｷﾖｳ,中札内村農業協同組合,3266,なかさつないむらのうきよう,
